AD Link,Price,Car Name,Year,KM Run,Fuel Type,Location,Date,image_url
/ad/volkswagen-eos-20l-golf-2009-convertible-ID116311757.html,"USD 7,000",Volkswagen eos 2.0L golf 2009 convertible,2009,1 km,Benzine,"Achrafieh, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13736511-400x300.jpeg
/ad/cadillac-escalade-luxury-collection-ID116352256.html,"USD 37,000","CADILLAC ESCALADE, LUXURY COLLECTION",2016,132000 km,Benzine,"Airport, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946685-400x300.jpeg
/ad/hyundai-santa-fe-2017-ID116352250.html,"USD 14,500",Hyundai Santa Fe 2017,2017,120000 km,Benzine,"Maalaqah, Zahle•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946635-400x300.jpeg
/ad/chevrolet-camaro-2012-ID116352246.html,"USD 7,900",Chevrolet Camaro 2012,2012,150000 km,Benzine,"Ain Al Mraiseh, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946623-400x300.jpeg
/ad/peugeot-308-turbo-2011-ID116184866.html,"USD 5,100",Peugeot 308 Turbo 2011,2011,163000 km,Benzine,"Cornet Chahwan, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13094434-400x300.jpeg
/ad/chevrolet-cruze-2014-ID116349732.html,"USD 5,500",Chevrolet Cruze 2014,2014,120000 km,Benzine,"Zahle Town, Zahle•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13933335-400x300.jpeg
/ad/bmw-3-series-2011-ID116352241.html,"USD 9,500",BMW 3-Series 2011,2011,150000 km,Benzine,"Choueifat, Aley•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946589-400x300.jpeg
/ad/mercedes-benz-s-class-1995-ID116352233.html,"USD 4,500",Mercedes-Benz S-Class 1995,1995,283128 km,Benzine,"Hasbaya Town, Hasbaya•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946548-400x300.jpeg
/ad/lexus-nx-series-2016-ID116352228.html,"USD 26,000",Lexus NX-Series 2016,2016,120000 km,Benzine,"Achrafieh, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946520-400x300.jpeg
/ad/peugeot-407-2005-ID116029651.html,"USD 3,500",Peugeot 407 2005,2005,110 km,Benzine,"Jiyyeh, Chouf•",6 days ago,https://images.dubizzle.com.lb/thumbnails/12314026-400x300.jpeg
/ad/mercedes-benz-sl-class-1967-ID116312532.html,"USD 90,000",Mercedes-Benz SL-Class 1967,1967,70000 km,Benzine,"Mar Elias, Beirut•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13740682-400x300.jpeg
/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%B3%D9%86%D8%AA%D8%B1%D8%A7-2016-ID116249024.html,"USD 7,200",نيسان سنترا 2016,2016,92000 km,Benzine,"Al Minie, Minieh-Denniye•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13411837-400x300.jpeg
/ad/toyota-rav4-hybrid-model-2019-company-source-ID116228770.html,"USD 29,000",TOYOTA RAV4 HYBRID MODEL 2019 COMPANY SOURCE,2019,65000 km,Hybrid,"Dekwaneh, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13309476-400x300.jpeg
/ad/toyota-fj-cruiser-2007-ID116352193.html,"USD 14,700",Toyota FJ Cruiser 2007,2007,188000 km,Benzine,"Zgharta Town, Zgharta•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946280-400x300.jpeg
/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A3%D8%AE%D8%B1%D9%89-2006-ID116352179.html,"USD 3,500",سكودا أخرى 2006,2006,42500 km,Benzine,"Abou Samra, Tripoli•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946203-400x300.jpeg
/ad/grand-cherokee-2016-limited-plus-cleancarfax-ID116344320.html,"USD 20,000",Grand Cherokee 2016 Limited Plus CLEANCARFAX !,2016,90000 km,Benzine,"Baabda Town, Baabda•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13905254-400x300.jpeg
/ad/nissan-kicks-sl-my-2022-from-rymco-under-warranty-17000-km-only-ID116352175.html,"USD 23,000",Nissan Kicks  SL  MY 2022 From Rymco Under warranty 17000 km only,2022,17000 km,Benzine,"Zalka, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13946182-400x300.jpeg
/ad/mercedes-benz-gle-class-2023-ID116339997.html,,"USD 89,000",202323000 kmHybrid,2023,23000 km,Hybrid,"Mar Elias, Beirut•",https://images.dubizzle.com.lb/thumbnails/13882976-400x300.jpeg
/ad/chevrolet-tahoe-2022-ID116328367.html,,"USD 69,000",202232000 kmBenzine,2022,32000 km,Benzine,"Mar Elias, Beirut•",https://images.dubizzle.com.lb/thumbnails/13821737-400x300.jpeg
